epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.75026,1.40681,3.35801,1.97595,0.29795,0.77456,0.29755,0.17067,1.49766,2.85371,2.5457,0.000405702,0.000405702,0.000405702
2,18.1827,1.01288,1.56607,1.56564,0,0,0,0,6.1863,10.5108,9.48528,0.000814227,0.000814227,0.000814227
3,26.3813,1.01453,1.45471,1.54152,0.06295,0.09386,0.04394,0.00735,3.12954,3.5639,5.7653,0.0012145,0.0012145,0.0012145
4,34.5806,0.97261,1.35799,1.5139,0.43516,0.71888,0.4925,0.29627,1.29344,1.66428,2.34787,0.00121287,0.00121287,0.00121287
5,42.8276,0.89146,1.28173,1.42356,0.46181,0.72136,0.60134,0.41312,1.20308,1.32012,2.53031,0.0012005,0.0012005,0.0012005
6,51.0348,0.86252,1.2583,1.40889,0.59714,0.35,0.16365,0.10141,1.38985,2.99543,2.71191,0.00118812,0.00118812,0.00118812
7,59.2342,0.8643,1.21053,1.42018,0.3706,0.51095,0.38203,0.19107,1.52565,3.99576,2.75974,0.00117575,0.00117575,0.00117575
8,67.4013,0.83152,1.19456,1.3708,0.59169,0.56137,0.66591,0.45473,1.02754,1.43163,1.87371,0.00116337,0.00116337,0.00116337
9,75.5974,0.8075,1.15966,1.36609,0.68457,0.63138,0.6944,0.51796,0.95286,1.30036,1.81741,0.001151,0.001151,0.001151
10,83.8002,0.7654,1.16197,1.32271,0.1662,0.60138,0.47756,0.28779,1.48285,2.58351,2.76496,0.00113863,0.00113863,0.00113863
11,91.983,0.73732,1.12753,1.31433,0.46841,0.81365,0.69916,0.55257,0.77697,1.2472,1.652,0.00112625,0.00112625,0.00112625
12,100.166,0.73193,1.1079,1.29997,0.31353,0.68469,0.45886,0.33989,0.77443,1.98948,1.70104,0.00111388,0.00111388,0.00111388
13,108.344,0.74379,1.12279,1.29655,0.54702,0.61346,0.67818,0.57489,0.67511,1.83363,1.53286,0.0011015,0.0011015,0.0011015
14,116.534,0.73585,1.08938,1.30093,0.26971,0.99123,0.6243,0.50632,0.80268,1.93305,1.79555,0.00108913,0.00108913,0.00108913
15,124.721,0.72665,1.06102,1.29697,0.7276,0.60744,0.731,0.24503,2.447,1.66225,3.73844,0.00107675,0.00107675,0.00107675
16,132.892,0.74591,1.09536,1.31042,0.44952,0.75713,0.55417,0.44385,0.87986,1.58482,1.79673,0.00106437,0.00106437,0.00106437
17,141.085,0.72998,1.03649,1.27976,0.4209,0.74783,0.61994,0.41786,0.98683,1.99897,1.83103,0.001052,0.001052,0.001052
18,149.242,0.71443,1.04072,1.2807,0.75298,0.74271,0.80577,0.69323,0.62828,0.90262,1.46437,0.00103962,0.00103962,0.00103962
19,157.448,0.71172,1.03432,1.27359,0.68953,0.83034,0.88049,0.73906,0.65037,0.853,1.48821,0.00102725,0.00102725,0.00102725
20,165.643,0.70043,1.00845,1.27353,0.55416,0.71418,0.73812,0.44006,1.32252,1.57902,2.69442,0.00101488,0.00101488,0.00101488
21,173.819,0.7008,1.0293,1.26789,0.79483,0.70616,0.82366,0.67029,0.73184,0.89264,1.58357,0.0010025,0.0010025,0.0010025
22,181.976,0.69258,1.01118,1.2497,0.65013,0.8446,0.84838,0.73106,0.59219,0.7946,1.41715,0.000990125,0.000990125,0.000990125
23,190.163,0.69337,0.98735,1.25813,0.59143,0.59031,0.61645,0.52385,0.73504,2.5637,1.6138,0.00097775,0.00097775,0.00097775
24,199.166,0.68736,0.96648,1.24949,0.71735,0.80788,0.84383,0.63148,0.85022,0.96361,1.80678,0.000965375,0.000965375,0.000965375
25,207.38,0.68247,0.96503,1.24896,0.46314,0.792,0.70641,0.6173,0.59092,1.40288,1.39238,0.000953,0.000953,0.000953
26,215.546,0.6883,1.01279,1.25314,0.80619,0.71968,0.84757,0.69707,0.70425,0.77141,1.57454,0.000940625,0.000940625,0.000940625
27,223.739,0.6757,0.93232,1.24097,0.81085,0.81533,0.86458,0.68069,0.87869,0.73701,1.88273,0.00092825,0.00092825,0.00092825
28,231.923,0.65319,0.93001,1.23082,0.5525,0.62942,0.6295,0.34188,1.17933,1.66993,2.48035,0.000915875,0.000915875,0.000915875
29,240.106,0.65914,0.9519,1.22728,0.82826,0.76063,0.85321,0.71444,0.63546,0.80784,1.44503,0.0009035,0.0009035,0.0009035
30,248.315,0.6743,0.93923,1.24052,0.68724,0.77892,0.83342,0.70859,0.61212,0.94233,1.42841,0.000891125,0.000891125,0.000891125
31,256.504,0.64473,0.91399,1.21448,0.80857,0.76605,0.85019,0.62223,1.1912,1.01485,2.50411,0.00087875,0.00087875,0.00087875
32,264.666,0.65725,0.96081,1.23312,0.72353,0.85568,0.88347,0.73569,0.7334,0.83957,1.60273,0.000866375,0.000866375,0.000866375
33,272.854,0.67096,0.94068,1.24879,0.80232,0.77561,0.85205,0.70117,0.66391,0.77031,1.48023,0.000854,0.000854,0.000854
34,281.005,0.67615,0.97179,1.2379,0.7643,0.81395,0.88751,0.76409,0.59076,0.69821,1.38643,0.000841625,0.000841625,0.000841625
35,289.21,0.65984,0.92861,1.22218,0.53485,0.68878,0.7326,0.61896,0.66264,1.3939,1.46277,0.00082925,0.00082925,0.00082925
36,297.355,0.65347,0.88833,1.22223,0.73246,0.79711,0.84097,0.73525,0.58564,0.95329,1.39172,0.000816875,0.000816875,0.000816875
