epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,593.401,0.65467,0.99406,1.21905,0.76385,0.74006,0.85076,0.70344,0.66293,0.85971,1.48071,0.000742625,0.000742625,0.000742625
43,607.416,0.64808,0.98768,1.21307,0.71889,0.69564,0.79584,0.67516,0.63357,1.17561,1.46918,0.00073025,0.00073025,0.00073025
44,621.356,0.6754,0.97437,1.2358,0.77349,0.77246,0.88917,0.75229,0.67875,0.78979,1.54077,0.000717875,0.000717875,0.000717875
45,635.574,0.64266,0.96821,1.21127,0.7214,0.82988,0.86341,0.72619,0.66563,0.76134,1.50558,0.0007055,0.0007055,0.0007055
46,649.665,0.66132,0.96002,1.23188,0.66271,0.73303,0.72924,0.61581,0.65793,1.02194,1.5096,0.000693125,0.000693125,0.000693125
47,664.058,0.64814,0.96801,1.21193,0.74678,0.86718,0.88368,0.74583,0.61665,0.68456,1.43912,0.00068075,0.00068075,0.00068075
48,678.263,0.63379,0.94027,1.19426,0.67395,0.81099,0.84713,0.71788,0.63927,0.77362,1.46641,0.000668375,0.000668375,0.000668375
49,692.471,0.63996,0.91186,1.20535,0.5568,0.73707,0.6843,0.30836,2.21449,1.72062,6.60132,0.000656,0.000656,0.000656
50,707.001,0.63591,0.92198,1.19396,0.6023,0.78648,0.77211,0.37774,2.06562,1.49875,5.73316,0.000643625,0.000643625,0.000643625
51,721.036,0.63824,0.92712,1.20519,0.86679,0.80152,0.91161,0.78957,0.58938,0.56492,1.44678,0.00063125,0.00063125,0.00063125
52,734.912,0.63857,0.93552,1.22854,0.79809,0.81313,0.89386,0.77418,0.60454,0.67694,1.42618,0.000618875,0.000618875,0.000618875
53,748.985,0.63851,0.90334,1.21083,0.37857,0.56069,0.4063,0.25219,1.56931,4.21241,2.47623,0.0006065,0.0006065,0.0006065
54,762.98,0.63016,0.94067,1.21127,0.5545,0.74927,0.80213,0.68043,0.62975,1.36909,1.43403,0.000594125,0.000594125,0.000594125
55,777.077,0.628,0.91083,1.20511,0.75174,0.78355,0.88128,0.76646,0.58291,0.73064,1.37309,0.00058175,0.00058175,0.00058175
56,791.1,0.62153,0.90149,1.20173,0.7789,0.75906,0.84732,0.71694,0.63563,1.03022,1.48577,0.000569375,0.000569375,0.000569375
57,805.234,0.63508,0.91695,1.21118,0.65,0.7219,0.79056,0.66326,0.64615,1.02121,1.4339,0.000557,0.000557,0.000557
58,819.215,0.63208,0.89157,1.21563,0.70886,0.76577,0.79574,0.65757,0.64456,1.0783,1.45445,0.000544625,0.000544625,0.000544625
59,832.98,0.62004,0.8842,1.19587,0.81741,0.77372,0.89929,0.77309,0.58919,0.73169,1.38538,0.00053225,0.00053225,0.00053225
60,846.885,0.61494,0.86989,1.18841,0.82364,0.79609,0.86156,0.74988,0.57162,0.71372,1.36952,0.000519875,0.000519875,0.000519875
61,860.992,0.61855,0.87991,1.18766,0.77076,0.78236,0.86019,0.69532,0.60834,1.0124,1.40784,0.0005075,0.0005075,0.0005075
62,875.014,0.61207,0.83307,1.19609,0.83058,0.75396,0.84091,0.73166,0.56793,0.82205,1.37843,0.000495125,0.000495125,0.000495125
63,889.117,0.60555,0.82761,1.18115,0.69356,0.82494,0.87501,0.6413,0.86949,1.05453,1.74173,0.00048275,0.00048275,0.00048275
64,903.118,0.61928,0.86875,1.188,0.44858,0.65148,0.55928,0.25757,2.3118,2.39686,4.34403,0.000470375,0.000470375,0.000470375
65,917.234,0.63127,0.86171,1.20418,0.79413,0.78789,0.88275,0.75952,0.58775,0.73947,1.3838,0.000458,0.000458,0.000458
66,931.231,0.61688,0.83227,1.17947,0.83488,0.85464,0.90219,0.78571,0.57632,0.62069,1.37951,0.000445625,0.000445625,0.000445625
67,945.578,0.62206,0.87099,1.19311,0.89702,0.81295,0.91497,0.79048,0.58475,0.56824,1.39957,0.00043325,0.00043325,0.00043325
68,960.097,0.61847,0.84973,1.19432,0.6482,0.73445,0.81215,0.69321,0.61269,1.13349,1.4053,0.000420875,0.000420875,0.000420875
69,974.33,0.6206,0.83438,1.18605,0.76834,0.79243,0.88427,0.76054,0.59951,0.83359,1.41664,0.0004085,0.0004085,0.0004085
70,988.614,0.6066,0.79049,1.1834,0.68225,0.86512,0.86726,0.75426,0.58948,0.87605,1.38676,0.000396125,0.000396125,0.000396125
