epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,590.026,0.40165,0.72021,1.06321,0.80525,0.9184,0.89611,0.84349,0.36577,0.59471,0.91355,0.000742625,0.000742625,0.000742625
43,604.024,0.4195,0.67884,1.08362,0.74547,0.85722,0.87539,0.80926,0.50377,0.83393,1.04919,0.00073025,0.00073025,0.00073025
44,618.046,0.38942,0.68608,1.0561,0.82142,0.87164,0.89774,0.85773,0.39401,0.56648,0.91169,0.000717875,0.000717875,0.000717875
45,632.21,0.41269,0.72014,1.07014,0.82817,0.90226,0.91044,0.86371,0.41888,0.54508,0.91453,0.0007055,0.0007055,0.0007055
46,645.947,0.40211,0.71884,1.07276,0.81412,0.8515,0.89388,0.84505,0.37975,0.62974,0.8803,0.000693125,0.000693125,0.000693125
47,659.709,0.37731,0.66918,1.04446,0.80316,0.87312,0.89897,0.84455,0.39646,0.65105,0.89614,0.00068075,0.00068075,0.00068075
48,673.793,0.3778,0.65937,1.05348,0.86316,0.88911,0.90833,0.84561,0.37932,0.55168,0.88257,0.000668375,0.000668375,0.000668375
49,687.63,0.37659,0.65416,1.04911,0.77826,0.92891,0.90773,0.86259,0.36885,0.61427,0.86843,0.000656,0.000656,0.000656
50,701.717,0.37848,0.65689,1.05115,0.8694,0.83988,0.91164,0.86946,0.36268,0.58518,0.87185,0.000643625,0.000643625,0.000643625
51,715.792,0.37386,0.63545,1.04624,0.76044,0.94238,0.9174,0.8362,0.47449,0.58724,1.00224,0.00063125,0.00063125,0.00063125
52,730.088,0.37536,0.62497,1.06118,0.85627,0.84695,0.90618,0.86058,0.40323,0.5937,0.90429,0.000618875,0.000618875,0.000618875
53,743.952,0.36706,0.64739,1.03408,0.83141,0.90004,0.92034,0.84433,0.42725,0.60028,0.91943,0.0006065,0.0006065,0.0006065
54,757.719,0.36683,0.64365,1.04702,0.8387,0.84413,0.89954,0.84287,0.42693,0.63155,1.04096,0.000594125,0.000594125,0.000594125
55,771.693,0.35508,0.63714,1.02792,0.84491,0.88343,0.9143,0.85274,0.39661,0.56088,0.89941,0.00058175,0.00058175,0.00058175
56,785.537,0.35953,0.64504,1.04049,0.90445,0.86887,0.9185,0.86214,0.37613,0.69802,0.88409,0.000569375,0.000569375,0.000569375
57,799.359,0.35577,0.64221,1.04378,0.71897,0.8566,0.89371,0.83215,0.42636,0.692,0.94266,0.000557,0.000557,0.000557
58,813.388,0.36868,0.65781,1.05494,0.86755,0.88191,0.91678,0.85572,0.37549,0.56319,0.88249,0.000544625,0.000544625,0.000544625
59,827.031,0.34676,0.63372,1.02153,0.7845,0.89909,0.9169,0.8666,0.41503,0.60695,0.91054,0.00053225,0.00053225,0.00053225
60,840.643,0.33572,0.60323,1.0345,0.81942,0.89288,0.9159,0.87574,0.38721,0.62922,0.88305,0.000519875,0.000519875,0.000519875
61,854.836,0.36823,0.61975,1.04428,0.84027,0.87245,0.9121,0.86932,0.36596,0.53802,0.85364,0.0005075,0.0005075,0.0005075
62,868.952,0.35329,0.61771,1.03425,0.81934,0.88389,0.90327,0.84946,0.37418,0.6037,0.87148,0.000495125,0.000495125,0.000495125
63,883.044,0.34669,0.62942,1.03745,0.66393,0.90118,0.87774,0.78515,0.43407,0.7182,0.93124,0.00048275,0.00048275,0.00048275
64,897.004,0.33803,0.60622,1.01882,0.83314,0.902,0.91643,0.85559,0.36506,0.53453,0.86178,0.000470375,0.000470375,0.000470375
65,910.613,0.35402,0.61917,1.04048,0.80462,0.85668,0.88968,0.84917,0.36384,0.57104,0.8615,0.000458,0.000458,0.000458
66,924.208,0.35171,0.60886,1.03114,0.83437,0.89844,0.9125,0.87206,0.3558,0.51781,0.85261,0.000445625,0.000445625,0.000445625
67,938.231,0.35927,0.57003,1.03602,0.80025,0.91673,0.92354,0.87158,0.38361,0.52885,0.87765,0.00043325,0.00043325,0.00043325
68,952.154,0.35046,0.61033,1.02636,0.79527,0.91686,0.91186,0.8602,0.36352,0.51673,0.83525,0.000420875,0.000420875,0.000420875
69,966.06,0.34624,0.60248,1.02289,0.86179,0.8856,0.91888,0.87132,0.35058,0.4927,0.84216,0.0004085,0.0004085,0.0004085
70,979.954,0.34211,0.60425,1.02419,0.80977,0.88073,0.89494,0.84624,0.37188,0.55032,0.87865,0.000396125,0.000396125,0.000396125
71,993.798,0.34395,0.6031,1.03352,0.85751,0.8836,0.91751,0.86958,0.36353,0.5126,0.86602,0.00038375,0.00038375,0.00038375
72,1007.63,0.33551,0.60308,1.02641,0.81733,0.8577,0.91877,0.86595,0.3465,0.58353,0.86849,0.000371375,0.000371375,0.000371375
